fid,id,x,y
275,274,-55.415688915,46.9083573971
276,275,-53.270850028,47.6242752492
277,276,-52.9442874059,47.6459237206
278,277,-56.2411918326,50.0235008916
279,278,-55.5782716275,51.3614194788
280,279,-56.8579776767,48.8281999803
281,280,-55.5927705319,49.9603333661
282,281,-53.751218899,48.1497023572
283,282,-54.8167245427,49.2927876044
284,283,-54.1911140166,48.3958461852
285,284,-53.9640341019,48.1726888618
286,285,-52.9582842073,47.6317428717
287,286,-52.7036817776,47.6105401771
288,287,-53.0415268449,48.6328739875
289,288,-53.3791155453,47.4060822482
290,289,-56.7765510008,51.2005641754
291,290,-54.2314204854,49.6782038141
292,291,-56.0999489478,51.1470823931
293,292,-66.9443359934,52.9341320369
294,293,-55.2195915071,47.058592489
295,294,-53.936611994,48.0117917463
296,295,-58.9557916001,48.1401636462
297,296,-55.6551507386,48.9539722825
298,297,-52.8727051443,47.5425395298
299,298,-54.7865211418,47.6783798807
300,299,-53.2366606642,47.5422121218
301,300,-55.3406111845,49.0673144589
302,301,-54.6008760122,48.9596237168
303,302,-58.973959903,47.9737519137
304,303,-54.6129361611,48.9510223793
305,304,-52.7548199812,47.5372767628
306,305,-58.5964556677,48.549490151
307,306,-52.7458851656,47.6677665368
308,307,-57.94988209,48.9434756259
309,308,-52.9095943278,47.5134195883
310,309,-58.2478425213,48.4910319328
311,310,-56.084504545,49.7049191065
312,311,-53.0100068203,47.5996178537
313,312,-54.2814415687,49.4160503741
314,313,-52.9494817151,47.6488646119
315,314,-54.7188362124,49.5970517524
316,315,-58.1518485078,48.6895349268
317,316,-56.8675206589,49.5262399675
318,317,-55.0950481026,48.8079674648
319,318,-55.19599875,48.902959253
320,319,-53.77333493,48.0035393042
321,320,-53.341521423,48.3775705084
322,321,-53.1010702556,48.6577575564
323,322,-53.005260208,47.5080142977
324,323,-53.9596352481,48.203650759
325,324,-59.1393282058,47.5698110414
326,325,-52.8496803941,47.5729253131
327,326,-55.342483614,48.825933284
328,327,-53.7433489866,48.1498545537
329,328,-55.4882385499,47.92731745
